自営農民
自営商工業者
黒人奴隷
プランテーション
印紙法
茶法
ボストン茶会事件
大陸会議
コモン・センサス
1776年7月4日
基本的人権
自由・平等
パリ条約
憲法制定会議
合衆国憲法
国民主権
連邦主義
行政権
立法権
司法権
ワシントン
ジェファソン
