曜日,1限,2限,3限,4限
月,物理I,数学IIA,体育,課題発見
火,数学IIB,倫理,英語IW,英会話
水,コンピューター工学,電気回路,プログラミング,-
木,化学I,芸術,歴史,HR
金,数学IIA,国語II,総合英語IR,プログラミンフ言語
